475.45,334.39,20,22,24,2,4,79,54,42,40
385.5897435897436,353.15384615384613,14,14,17,3,3,52,32,29,29
431.8787878787879,252.87878787878788,18,11,11,0,3,47,36,26,33
422.6636363636364,363.1090909090909,17,35,37,2,4,92,64,55,37
445.0217391304348,258.04347826086956,26,26,27,1,4,71,52,46,46
412.91818181818184,345.05454545454546,23,36,37,1,4,85,55,56,43
450.9754098360656,389.327868852459,20,52,55,3,4,84,60,72,40
414.6666666666667,321.0625,24,37,41,4,4,58,43,57,44
431.9,303.75714285714287,14,19,21,2,3,44,31,34,29
491.7307692307692,389.2435897435897,8,31,35,4,3,51,28,46,23
394.72115384615387,320.75961538461536,24,30,32,2,4,80,56,50,44
413.54237288135596,347.2542372881356,21,37,38,1,4,75,60,57,41
428.07142857142856,326.7857142857143,18,24,25,1,4,62,46,44,38
386.55,241.04,31,23,27,4,4,73,52,42,51
382.0,243.72222222222223,3,4,4,0,1,9,5,9,8
424.63461538461536,314.7692307692308,26,40,41,1,4,74,49,59,46
403.0921052631579,256.8421052631579,19,20,21,1,3,47,38,35,34
403.1458333333333,316.21875,22,25,30,5,4,61,37,45,42
452.1111111111111,339.27777777777777,20,35,36,1,4,69,43,55,40
421.5686274509804,317.52941176470586,20,39,41,2,4,70,43,59,40
399.7651515151515,309.34090909090907,24,46,52,6,5,98,56,71,49
482.41379310344826,362.55172413793105,18,43,46,3,4,80,49,63,38
391.6967213114754,253.27868852459017,28,46,49,3,4,89,64,66,48
521.9561403508771,343.640350877193,20,40,42,2,4,77,49,59,40
429.31481481481484,294.712962962963,14,33,33,0,4,70,45,53,34
435.55,180.275,12,1,1,0,2,26,17,11,22
449.7155172413793,252.48275862068965,28,31,34,3,4,84,65,51,48
352.25,228.6625,24,17,18,1,3,54,39,32,39
445.1186440677966,313.8813559322034,23,36,38,2,4,81,55,56,43
406.4313725490196,266.8137254901961,26,22,25,3,4,69,49,42,46
400.1,270.2,33,52,55,3,5,95,66,76,58
425.4166666666667,208.07407407407408,24,33,33,0,4,85,68,53,44
414.056338028169,309.40140845070425,29,46,49,3,5,103,64,71,54
439.3695652173913,256.82608695652175,8,13,14,1,2,27,15,23,18
462.7857142857143,455.0194805194805,16,70,76,6,5,87,32,95,41
428.3965517241379,304.12068965517244,25,41,46,5,4,83,45,61,45
403.40526315789475,337.12631578947367,27,57,59,2,5,122,61,82,52
402.9516129032258,257.48387096774195,14,19,20,1,2,42,26,29,24
331.19354838709677,235.58064516129033,17,16,16,0,2,44,28,26,27
423.44642857142856,320.0267857142857,23,43,44,1,4,81,53,63,43
441.7258064516129,296.85483870967744,26,44,45,1,4,80,55,64,46
461.2857142857143,206.5625,28,26,27,1,4,68,51,46,48
395.3488372093023,375.40697674418607,9,27,28,1,3,47,22,42,24
425.75,233.75,9,11,12,1,2,37,22,21,19
407.1525423728813,309.635593220339,25,44,49,5,4,77,51,64,45
470.0163934426229,313.344262295082,14,44,48,4,4,68,39,63,34
366.425,284.425,18,25,26,1,3,40,31,40,33
335.68888888888887,365.31111111111113,10,33,35,2,3,50,26,48,25
412.9166666666667,238.52083333333334,11,9,11,2,2,24,15,19,21
429.796875,265.609375,13,19,20,1,2,30,21,29,23
443.93333333333334,336.6666666666667,22,43,45,2,4,73,46,63,42
392.7647058823529,264.70588235294116,16,18,20,2,3,53,33,33,31
392.4166666666667,238.44791666666666,22,17,18,1,3,69,50,32,37
437.8918918918919,228.98648648648648,19,20,20,0,3,55,42,35,34
418.98333333333335,292.5083333333333,20,42,43,1,4,98,65,62,40
392.01,267.39,19,27,28,1,3,58,38,42,34
430.09473684210525,276.92105263157896,30,68,69,1,5,106,71,93,55
432.9469696969697,342.5378787878788,23,51,52,1,5,95,62,76,48
443.27272727272725,220.0,40,29,31,2,5,113,87,54,65
452.4795918367347,224.92857142857142,21,29,29,0,4,61,42,49,41
482.28977272727275,245.5568181818182,28,65,68,3,5,105,67,90,53
418.2265625,295.6875,18,44,45,1,4,74,39,63,38
452.7641509433962,320.6981132075472,18,42,43,1,4,76,49,62,38
